SEQPRODUTO;DESCCOMPLETA;CODACESSO;QTDEMBALAGEM;NIVEL 0;NIVEL 1;NIVEL 2;NIVEL 3;NIVEL 4;NIVEL 5;NIVEL 6;NIVEL 7
434;CERA AUTOM SHINE 200G AUTOMOTIVA;7897217395028;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;CERA;PASTA;PASTA
435;ANTI EMBACANTE SD 50ML SPRAY;7898889834945;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;LIMPA VIDRO;LIMPA VIDRO;LIMPA VIDRO
436;BUJAO CARTER CONICO UNIVERSAL M16;4058794044591;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BUJAO CARTER;BUJAO CARTER
439;SILICONE AROMACAR 400ML VANILLA;7898104150959;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;SILICONE;SILICONE;SILICONE
441;SILICONE AROMACAR 400ML EXCLUSIVO;7898104150973;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;SILICONE;SILICONE;SILICONE
442;SILICONE AROMACAR 400ML BLACK;7898104150942;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;SILICONE;SILICONE;SILICONE
443;SILICONE AROMACAR 400ML MUSTANG;7898104150935;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;SILICONE;SILICONE;SILICONE
446;CERA AROMACAR 500ML MULTI CERA;7898104151901;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;CERA;PASTA;PASTA
449;CERA RADNAQ 200G PROTETORA;7898173500945;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;CERA;PASTA;PASTA
451;CERA TRIPLE MAX 100G;7898403650143;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;CERA;PASTA;PASTA
452;CLIMATIZADOR AROMACAR 60ML S REP;7898104150256;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;ACESSORIOS;ACESSORIOS;ACESSORIOS;ACESSORIOS
454;DISCO TACOGRAFO DML 24H 125KM;7898937106024;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
455;CJ LAVA SECO LUXCAR;7896498543463;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;KIT;KIT;KIT
456;DISCO TACOGRAFO DML 7 DIAS 125KM;7898937106017;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
457;DISCO TACOGRAFO DML 24H 180KM;7898937106055;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
458;ESTOPA AROMACAR 150G;7898104150270;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;ESTOPA - ESPONJA - LUVA;ESTOPA - ESPONJA - LUVA;ESTOPA - ESPONJA - LUVA
459;DISCO TACOGRAFO DML 7 DIAS 180KM;7898937106062;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
460;ESTOPA FLABOM 150G ALGODAO;7898907907545;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;ESTOPA - ESPONJA - LUVA;ESTOPA - ESPONJA - LUVA;ESTOPA - ESPONJA - LUVA
461;DISCO TACOGRAFO VDO 24H 125KM;7894476006221;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
462;ESTOPA RV 150G;7898913809000;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;ESTOPA - ESPONJA - LUVA;ESTOPA - ESPONJA - LUVA;ESTOPA - ESPONJA - LUVA
463;DISCO TACOGRAFO VDO 24H 180KM;7894476014646;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
464;DISCO TACOGRAFO VDO 7DIAS 125KM;7894476006238;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
465;DISCO TACOGRAFO VDO 7 DIAS 180KM;7894476018781;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
481;EXTINTOR EXTANG 1KG ABC P40;7898919153039;1;GERAL;POSTO COMBUSTIVEL;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES
